fighter_name,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg,fighter_url
Ben Lagman,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/b40e65d71a8d4ce5
Rafael Freitas,2.00,29%,8.00,51%,11.25,50%,0%,0.0,http://www.ufcstats.com/fighter-details/14b9e0f2679a2205
CJ Hamilton,2.47,31%,3.93,58%,0.00,0%,62%,0.0,http://www.ufcstats.com/fighter-details/7da5839b223f3728
Rob Kimmons,1.86,48%,4.79,38%,2.08,46%,25%,2.4,http://www.ufcstats.com/fighter-details/054defd5420a551f
Thiago Tavares,2.00,40%,2.31,62%,3.83,42%,62%,1.5,http://www.ufcstats.com/fighter-details/8a59d346dc976a10
Paige VanZant,3.35,52%,2.62,42%,1.27,33%,34%,1.0,http://www.ufcstats.com/fighter-details/4d5197f331c47290
Clay Collard,4.22,32%,5.00,50%,2.81,39%,71%,0.5,http://www.ufcstats.com/fighter-details/cc900c6a71ed23f3
Ibragim Magomedov,0.26,4%,3.86,42%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e7e970d508529bf3
Vitor Petrino,2.83,45%,2.71,47%,3.24,57%,71%,0.6,http://www.ufcstats.com/fighter-details/71171fc96445bf65
DeMarco Villalona,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/0275e33febc2818c
Josh Barnett,3.20,50%,2.11,57%,1.26,55%,55%,1.4,http://www.ufcstats.com/fighter-details/ad3f53c454cbbead
Eric Lawson,1.58,57%,1.97,44%,8.88,42%,0%,3.0,http://www.ufcstats.com/fighter-details/38e5d9dcb0fddc42
Tito Ortiz,2.59,46%,2.88,60%,2.47,35%,54%,0.6,http://www.ufcstats.com/fighter-details/2f732dd9210d301f
Marnic Mann,1.47,41%,5.08,31%,1.90,33%,25%,0.4,http://www.ufcstats.com/fighter-details/b6203e0492a9336c
Nandor Guelmino,3.62,56%,3.16,33%,0.00,0%,42%,0.0,http://www.ufcstats.com/fighter-details/1abfb658cd4f8533
WonBin Ki,6.73,50%,4.21,55%,0.73,20%,50%,0.0,http://www.ufcstats.com/fighter-details/aaeb55084b198a39
Rodney Wallace,1.13,46%,3.44,45%,6.00,54%,28%,1.0,http://www.ufcstats.com/fighter-details/b9415726dc3ec526
Jose Johnson,2.27,57%,1.61,53%,0.69,60%,41%,0.7,http://www.ufcstats.com/fighter-details/84f727cf0166d6f2
Steven Koslow,0.77,37%,3.73,40%,5.28,55%,0%,1.1,http://www.ufcstats.com/fighter-details/84512339473dd300
Ding Meng,3.40,50%,3.87,48%,1.00,50%,0%,0.0,http://www.ufcstats.com/fighter-details/e0664abaa023fd6f
Stipe Miocic,4.67,52%,4.01,52%,1.74,34%,65%,0.0,http://www.ufcstats.com/fighter-details/d28dee5c705991df
Reza Nasri,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d41937647eae9a34
Anthony Morrison,1.70,33%,0.49,80%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/dab0e6cb8c932162
Junior Dos Santos,4.49,47%,3.33,56%,0.30,50%,81%,0.1,http://www.ufcstats.com/fighter-details/63def5a5662a6917
Danny Downes,1.66,34%,3.53,37%,0.00,0%,37%,0.5,http://www.ufcstats.com/fighter-details/a66395395b5f1394
Quinton Jackson,3.25,54%,2.51,55%,1.52,56%,73%,0.1,http://www.ufcstats.com/fighter-details/ffc088e64fab57e9
Helena Crevar,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a8c3ce469cb8b130
Raphael Assuncao,3.22,42%,2.50,66%,1.65,39%,78%,0.2,http://www.ufcstats.com/fighter-details/2f13e4020cea5b38
Melsik Baghdasaryan,5.28,61%,3.06,58%,0.00,0%,72%,0.0,http://www.ufcstats.com/fighter-details/a52bc1e62cf0b7c6
James Giboo,1.20,27%,7.08,39%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f74e037b97917027
Roy Jones,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/be8dfcf0442812b1
Bobby Flynn,0.38,25%,0.77,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/c97fc5fbf7d32b8a
Scott Bills,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/53f02bbc41d99432
Juancamilo Ronderos,2.18,30%,2.18,63%,2.72,33%,0%,0.0,http://www.ufcstats.com/fighter-details/4a043165cf47cab2
Micol Di Segni,7.47,40%,5.87,33%,0.00,0%,37%,0.0,http://www.ufcstats.com/fighter-details/8126e4dff0cdf69e
Joe Pardo,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/74fefd43f073cd2f
Jorge Patino,1.33,30%,3.14,53%,0.54,25%,50%,0.0,http://www.ufcstats.com/fighter-details/c8cca8f3de5be4b4
Jeremie Holloway,0.81,50%,0.51,79%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ee28aa7f1043756c
Sean McCorkle,0.85,44%,2.48,52%,2.12,40%,33%,4.2,http://www.ufcstats.com/fighter-details/008dc37cca279def
Adam Milstead,3.85,46%,4.79,43%,0.00,0%,64%,0.0,http://www.ufcstats.com/fighter-details/72ffecf712673af1
Art Jimmerson,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a5c53b3ddb31cc7d
Sedriques Dumas,2.15,48%,2.03,58%,1.31,35%,40%,0.3,http://www.ufcstats.com/fighter-details/4e6738062d469256
Tom DeBlass,1.50,35%,4.43,37%,1.00,50%,28%,0.5,http://www.ufcstats.com/fighter-details/0bcfe2513cb3bc39
Rafael Estevam,2.94,64%,3.35,34%,3.35,19%,0%,0.7,http://www.ufcstats.com/fighter-details/83455a9d17f57dae
Eric Galvan,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ad3fdba28a7540cf
Devin Clark,3.03,54%,3.24,44%,2.17,32%,58%,0.1,http://www.ufcstats.com/fighter-details/cc7040fe76f0ef91
Daniel Roberts,0.73,20%,2.27,46%,2.46,44%,40%,2.5,http://www.ufcstats.com/fighter-details/22edaf53ad59a967
Kevin Aguilar,3.96,40%,4.81,52%,0.16,16%,78%,0.0,http://www.ufcstats.com/fighter-details/cf946e03ba2e7666
Tetsuya Seki,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5e1062e066c601e6
Timmy Cuamba,3.00,40%,4.38,60%,1.00,27%,71%,0.0,http://www.ufcstats.com/fighter-details/0e46690e55a8df75
Richie Hightower,4.62,35%,6.92,21%,3.46,100%,100%,0.0,http://www.ufcstats.com/fighter-details/318e629d1eb7aa49
Jose Delgado,6.23,44%,4.21,48%,7.01,75%,100%,0.0,http://www.ufcstats.com/fighter-details/7d6ceff6747f2de2
Patrick Smith,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/46c8ec317aff28ac
SeongChan Hong,6.57,55%,8.76,47%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/10d4575f497face4
Gabe Lemley,0.82,35%,6.03,45%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/fd4578cac86d75ca
Davi Bittencourt,4.15,66%,1.51,46%,14.15,33%,0%,0.0,http://www.ufcstats.com/fighter-details/dd6ec6f941c3a414
Frankie Saenz,3.94,47%,3.50,52%,1.74,31%,61%,0.1,http://www.ufcstats.com/fighter-details/9ba2226646046b63
Carlos Leal,7.13,43%,7.27,50%,1.00,25%,89%,0.0,http://www.ufcstats.com/fighter-details/28d421729451c8ca
Aliaskhab Khizriev,6.01,64%,4.38,61%,5.64,60%,100%,3.8,http://www.ufcstats.com/fighter-details/7ab478c397cd68ef
Dean Lister,1.26,35%,1.89,61%,1.58,15%,50%,1.1,http://www.ufcstats.com/fighter-details/68c6cd5287b473a7
Akitoshi Tamura,3.73,43%,1.94,78%,0.00,0%,20%,1.0,http://www.ufcstats.com/fighter-details/c95fbc085e17a532
Yukio Sakaguchi,0.30,25%,2.40,50%,4.50,100%,0%,9.0,http://www.ufcstats.com/fighter-details/94a5aaf573f780ad
Dustin Kimura,1.33,21%,3.82,51%,0.93,37%,50%,2.2,http://www.ufcstats.com/fighter-details/fe91d254db77a7fc
Jessamyn Duke,4.83,53%,4.43,57%,1.27,36%,50%,1.9,http://www.ufcstats.com/fighter-details/a7ddae0be8b78147
Lee Brousseau,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/0974d8d4053a7237
Shane Howell,1.27,32%,2.55,42%,0.00,0%,20%,0.0,http://www.ufcstats.com/fighter-details/a7de976620f2ed13
Chris Haseman,0.93,70%,4.67,28%,0.00,0%,40%,2.0,http://www.ufcstats.com/fighter-details/5bd533d50c8e7b8a
Paul Kelly,3.22,37%,2.61,59%,1.34,60%,30%,1.5,http://www.ufcstats.com/fighter-details/aac5ac38148f0528
Alonzo Menifield,3.77,54%,3.70,49%,0.63,33%,76%,0.2,http://www.ufcstats.com/fighter-details/a495f599e787614f
Josh Hendricks,0.98,20%,11.80,29%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7649c4c95b824488
Roy Nelson,2.18,36%,4.79,46%,1.14,27%,65%,0.1,http://www.ufcstats.com/fighter-details/3f7c14c7eca7195d
Kelly Dullanty,0.00,0%,0.67,75%,0.00,0%,66%,0.0,http://www.ufcstats.com/fighter-details/1a225f04aa6e0739
Josias Musasa,3.33,44%,4.53,27%,1.00,100%,75%,1.0,http://www.ufcstats.com/fighter-details/723b64c0e9a8f348
Sean Pierson,3.84,39%,3.73,64%,0.39,18%,66%,0.4,http://www.ufcstats.com/fighter-details/0d506315895efffc
Jimmy Crute,4.37,53%,3.63,42%,3.86,52%,58%,1.6,http://www.ufcstats.com/fighter-details/70e1f8a821b72c8b
Leandro Issa,2.08,37%,3.17,58%,2.38,22%,50%,1.2,http://www.ufcstats.com/fighter-details/d1e1fdcea7c8a90a
Matt Ricehouse,3.70,44%,4.80,47%,1.00,22%,81%,0.0,http://www.ufcstats.com/fighter-details/343d57cde1a14338
Gillian Robertson,2.89,48%,2.95,56%,2.68,39%,41%,1.0,http://www.ufcstats.com/fighter-details/38c7f72747f4f712
Jesus Pinedo,3.23,38%,4.37,52%,2.50,100%,100%,0.0,http://www.ufcstats.com/fighter-details/25af5e832f17b474
Mike Santiago,3.44,49%,3.58,36%,2.66,50%,53%,1.1,http://www.ufcstats.com/fighter-details/bc656db347f31e19
Ramazan Emeev,2.53,45%,2.14,65%,2.37,29%,66%,0.7,http://www.ufcstats.com/fighter-details/abd5fb12437eda21
Sergey Morozov,3.01,43%,2.97,61%,3.63,31%,68%,0.0,http://www.ufcstats.com/fighter-details/2f6a993c7f547c13
Akira Kikuchi,3.67,56%,0.40,14%,2.00,40%,100%,0.0,http://www.ufcstats.com/fighter-details/9c37681096c6f3a9
Emily Kagan,2.60,36%,5.29,38%,1.86,14%,50%,0.0,http://www.ufcstats.com/fighter-details/c1ea9d56cd953586
Jake Shields,2.45,36%,1.80,56%,2.83,29%,35%,1.2,http://www.ufcstats.com/fighter-details/fe435e440b5de0ff
Scott Jorgensen,3.37,40%,3.41,65%,2.61,45%,59%,0.7,http://www.ufcstats.com/fighter-details/0b64d0fed453ef7f
Jason Medina,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/f53fb9d9e57cc38e
Yuya Shirai,1.02,100%,4.07,55%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a79bfbc01b2264d6
Josh Rafferty,0.60,33%,3.60,50%,0.00,0%,0%,9.0,http://www.ufcstats.com/fighter-details/ff2c606c8bc365e3
Dustin Jacoby,5.33,47%,4.05,57%,0.33,25%,62%,0.0,http://www.ufcstats.com/fighter-details/e4277e87a789d687
Tyrone Roberts,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/d1e6a6536ee62517
Teruto Ishihara,3.26,44%,3.63,53%,0.50,16%,30%,0.0,http://www.ufcstats.com/fighter-details/88cd34d836b4ebcd
Zach Zane,0.87,56%,6.67,20%,0.00,0%,26%,0.0,http://www.ufcstats.com/fighter-details/cc3878d1ab41a5fa
Saad Awad,2.13,26%,1.87,60%,0.50,16%,100%,0.5,http://www.ufcstats.com/fighter-details/da603332ad41f165
Masuto Kawana,2.54,41%,3.79,41%,11.67,55%,100%,0.0,http://www.ufcstats.com/fighter-details/49f4171f14f54220
Brandon Moreno,3.99,43%,3.53,60%,1.59,46%,64%,0.4,http://www.ufcstats.com/fighter-details/792be9a24df82ed6
Greg Scott,3.90,55%,7.79,37%,11.69,100%,0%,0.0,http://www.ufcstats.com/fighter-details/0b235384fe23fc9c
Joe Son,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/83b743fedde154fb
Zoila Frausto,0.77,31%,1.64,53%,0.00,0%,57%,0.0,http://www.ufcstats.com/fighter-details/040d3b4c735541aa
Keigo Kunihara,0.17,10%,1.99,57%,4.97,40%,100%,2.5,http://www.ufcstats.com/fighter-details/782a2a17d3e38fdf
Cody Gibson,3.47,44%,3.36,57%,2.18,40%,68%,0.7,http://www.ufcstats.com/fighter-details/700a674c042b7a96
Nate Maness,3.14,50%,3.88,42%,0.68,75%,80%,0.7,http://www.ufcstats.com/fighter-details/6e9f40c706f91f32
Charlene Gellner,2.01,42%,3.24,43%,0.00,0%,0%,1.7,http://www.ufcstats.com/fighter-details/effd0b70e6749ab2
Yoshiki Takahashi,2.26,51%,6.47,44%,0.00,0%,66%,2.3,http://www.ufcstats.com/fighter-details/6420efac0578988b
Julia Avila,2.59,43%,2.86,50%,0.54,33%,50%,0.3,http://www.ufcstats.com/fighter-details/86d9dbe1bfcbade7
Jack McGlaughlin,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/237187ed9f419285
Kazuo Misaki,2.85,40%,2.74,63%,0.72,38%,51%,0.6,http://www.ufcstats.com/fighter-details/5e7a28f20927d64a
Dokonjonosuke Mishima,1.06,41%,1.22,52%,2.47,40%,25%,1.4,http://www.ufcstats.com/fighter-details/b14a68c533f4a4aa
Lacey Schuckman,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e44c679c30403cba
Mayra Bueno Silva,3.83,58%,4.85,51%,0.57,29%,63%,1.5,http://www.ufcstats.com/fighter-details/cc8c623cca88f54f
Tony DeSouza,1.12,52%,1.57,41%,2.25,42%,40%,1.5,http://www.ufcstats.com/fighter-details/6ad9058b7c7898b0
Curtis Stout,0.69,67%,3.20,29%,0.00,0%,20%,0.0,http://www.ufcstats.com/fighter-details/e09dbbd5fe3f0fe2
Khaos Williams,5.81,39%,5.42,42%,0.00,0%,80%,0.0,http://www.ufcstats.com/fighter-details/2558ae2e5671e318
Austin Bashi,1.94,48%,2.71,46%,8.39,39%,62%,1.3,http://www.ufcstats.com/fighter-details/d3f89fa685bd8420
Donnie Chappell,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8788beb528894f33
Karl Williams,2.68,48%,2.15,55%,4.20,48%,100%,0.2,http://www.ufcstats.com/fighter-details/d35f734c56a89103
Robert Breslin,2.21,46%,3.50,66%,1.38,100%,50%,0.0,http://www.ufcstats.com/fighter-details/e319d6697d41f3cf
Edson Gomez,2.66,32%,8.78,45%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e90f4291f93708e6
Marcus Hicks,1.42,43%,3.06,61%,2.70,53%,25%,4.0,http://www.ufcstats.com/fighter-details/e69c5ce12f4e762b
Derrick Burnsed,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/2213330f082f82d5
Roland Delorme,2.28,44%,4.32,40%,2.51,34%,42%,1.6,http://www.ufcstats.com/fighter-details/173acb3f920082b8
Luke Sanders,6.61,52%,4.37,50%,0.71,30%,72%,0.2,http://www.ufcstats.com/fighter-details/96428b9e9bd048ea
Thiago Santos,3.72,48%,2.57,53%,0.88,33%,65%,0.1,http://www.ufcstats.com/fighter-details/dea070ed4a2a8281
Danyelle Wolf,2.37,25%,4.57,47%,0.00,0%,77%,0.5,http://www.ufcstats.com/fighter-details/a7e3f02fe2b2fe30
Jorge Ortiz,3.53,58%,2.80,73%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/9c5828c6fd9dc948
Francois Botha,0.00,0%,1.05,77%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/545d549d6bf87187
Jack Duffy,5.07,69%,2.13,52%,0.00,0%,62%,0.0,http://www.ufcstats.com/fighter-details/cea51876d8a514a0
Nick Penner,1.25,30%,4.60,38%,0.00,0%,40%,0.0,http://www.ufcstats.com/fighter-details/879b8df81523d91b
Matheus Scheffel,1.33,36%,3.00,47%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/a296ad1d238d97df
Genaro Valdez,4.08,30%,7.16,48%,1.54,44%,36%,0.4,http://www.ufcstats.com/fighter-details/cda1099995b46cc2
Tai Bowden,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/2efbc83a6b9b7f86
Leslie Smith,7.56,40%,8.41,51%,0.00,0%,62%,0.0,http://www.ufcstats.com/fighter-details/76984112f697631f
Pearl Gonzalez,2.23,37%,4.07,57%,1.04,11%,0%,0.5,http://www.ufcstats.com/fighter-details/1ebdcb7488d0ebee
Adam Antolin,5.73,52%,5.00,69%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/25b31165758402dd
Scott Lighty,2.91,21%,4.24,49%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/998c8890a8dde1eb
Dion Staring,1.09,37%,5.00,47%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/289a57039d742bfe
Lavar Johnson,5.39,55%,2.54,55%,0.61,66%,54%,0.6,http://www.ufcstats.com/fighter-details/e6c5908910cc26e4
Nadia Kassem,3.13,41%,4.48,48%,0.46,33%,40%,2.8,http://www.ufcstats.com/fighter-details/6e7506127408aa9e
Justine Kish,4.51,48%,4.59,57%,0.87,33%,50%,0.1,http://www.ufcstats.com/fighter-details/928ae2e5b5f7a9ec
Jin Bala,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/371efa53bd0cf669
Kwan Ho Kwak,3.29,41%,3.45,47%,0.78,100%,26%,0.0,http://www.ufcstats.com/fighter-details/c13042265355a290
Sho Patrick Usami,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/fe30c5f5cc3e028b
Gleison Tibau,1.95,31%,2.51,63%,4.08,53%,92%,0.8,http://www.ufcstats.com/fighter-details/75e5fec9f72910ef
AJ Matthews,5.11,52%,4.96,51%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/18e4f61f16f458c6
Huang Feier,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/e71c75f533a30daa
Alan Gomez,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/0a66de3a797cf73a
Danni McCormack,6.93,51%,4.53,60%,6.00,42%,50%,2.0,http://www.ufcstats.com/fighter-details/2a9f9db24cd032ba
Ahmad Hassanzada,3.16,39%,4.42,38%,2.43,19%,0%,1.2,http://www.ufcstats.com/fighter-details/bf7a64d9ae343e86
Cory Hendricks,3.13,39%,4.07,42%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/9ab9912e0f8fa6d6
Wes Combs,2.14,48%,4.73,45%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a85998eb79650b2c
Alvaro Herrera Mendoza,1.89,38%,3.40,55%,0.00,0%,33%,1.1,http://www.ufcstats.com/fighter-details/74d35fbc9c6a61bd
Mark Hominick,4.08,42%,4.18,69%,0.25,66%,71%,0.9,http://www.ufcstats.com/fighter-details/0a97691039c4bbfb
Devin Powell,2.88,41%,3.67,51%,0.00,0%,0%,0.6,http://www.ufcstats.com/fighter-details/065eb44700e641a4
Young Sam Jung,0.53,9%,2.79,63%,0.00,0%,0%,2.0,http://www.ufcstats.com/fighter-details/13104eaed3ae96c3
Andrew Ramm,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/3b5f2faaa2f2c1f6
George Bush,6.35,64%,2.31,55%,17.31,66%,0%,0.0,http://www.ufcstats.com/fighter-details/f0c779dc2ca3816c
Artenus Young,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8d4943a9ce9f521b
John Albert,3.05,49%,2.82,35%,0.00,0%,50%,6.1,http://www.ufcstats.com/fighter-details/7bd94b60d7521e4a
Lorenzo Hood,2.64,61%,4.66,11%,0.00,0%,100%,0.0,http://www.ufcstats.com/fighter-details/7f9abc4db2d05764
Aleksander Emelianenko,2.75,41%,1.70,65%,2.32,72%,66%,0.9,http://www.ufcstats.com/fighter-details/f54200f1dfb9b5d4
Jonathan Martinez,4.44,49%,4.09,56%,0.38,35%,68%,0.1,http://www.ufcstats.com/fighter-details/f2477cf43c4975cc
Andre Santos,2.77,34%,4.17,41%,2.50,29%,75%,0.0,http://www.ufcstats.com/fighter-details/5b5b78116d1fc3eb
Angela Hill,5.46,49%,4.93,61%,0.76,32%,74%,0.1,http://www.ufcstats.com/fighter-details/f0feeb2192937424
Mario Soto,1.43,23%,5.23,42%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/cac3aaa66c20bee1
Wanderlei Silva,2.79,40%,2.19,60%,0.97,53%,62%,0.6,http://www.ufcstats.com/fighter-details/a1f6999fe57236e0
Chi Lewis-Parry,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/a307a10414d0ad00
Nick Pica,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/7922e8269adcc25a
Dan Christison,4.23,51%,3.88,54%,0.00,0%,37%,1.1,http://www.ufcstats.com/fighter-details/b369533a577fa97c
Chalid Arrab,1.56,34%,1.63,56%,3.05,75%,37%,1.0,http://www.ufcstats.com/fighter-details/770b9d4813c25902
Jarjis Danho,3.38,50%,5.25,49%,0.51,16%,100%,0.0,http://www.ufcstats.com/fighter-details/8614b7134913f5d5
Lance Gibson,1.21,75%,6.44,20%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/63eedfcc73071d41
Herdem Alacabek,3.84,65%,6.66,23%,2.06,50%,42%,0.0,http://www.ufcstats.com/fighter-details/7578cc6bd750206b
Jason Jackson,2.24,48%,1.31,56%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/ca8da445dfa82d56
Olivier Aubin-Mercier,2.48,51%,2.97,55%,2.36,33%,70%,0.5,http://www.ufcstats.com/fighter-details/55ee431411ccf07a
Brandon Gaines,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/8e6cfbd455f0f9c2
Fredson Paixao,1.71,54%,2.31,62%,0.62,11%,10%,2.2,http://www.ufcstats.com/fighter-details/320edfb0332b7073
James Bochnovic,0.65,26%,3.64,21%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/984d15d5dc7bfcf9
Mike Swick,2.36,37%,2.29,54%,1.06,50%,61%,0.6,http://www.ufcstats.com/fighter-details/9fe85152f351e737
Mauricio Rua,3.57,50%,2.79,54%,2.01,48%,49%,0.7,http://www.ufcstats.com/fighter-details/140745cbbcb023ac
Tatsuya Kawajiri,2.04,44%,2.01,50%,3.63,48%,63%,1.1,http://www.ufcstats.com/fighter-details/80d918336163b80c
Danny Henry,5.20,51%,4.16,45%,0.74,33%,50%,2.2,http://www.ufcstats.com/fighter-details/f7d73e452b064bf2
Miguel Linares,6.51,50%,8.84,36%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/18c49685296c60e6
Alexander Poppeck,4.01,57%,9.81,33%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/56bf3ed155bd0fcd
Hugo Cunha,0.60,30%,3.01,34%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/46a17755f80f63e8
Anton Kuivanen,2.27,38%,1.63,67%,1.20,100%,71%,0.4,http://www.ufcstats.com/fighter-details/706f8e2b34e8e18b
Alex Soto,2.95,25%,5.02,59%,2.82,30%,0%,0.0,http://www.ufcstats.com/fighter-details/d18dbcb0f8e2b55d
Justin Smitley,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/c5776fa8f4bf77aa
Muhammad Naimov,2.94,41%,3.77,44%,1.85,36%,66%,0.0,http://www.ufcstats.com/fighter-details/8d11d9c13e2ccdf7
Jason Godsey,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5ca158b1cc9cb242
Damonte Robinson,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/2782235b078b72a7
Daniel Straus,4.76,43%,2.99,57%,0.84,15%,81%,1.1,http://www.ufcstats.com/fighter-details/15347cd4cdf01b03
Jason Sharp,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/285e32e41f61a5b1
Albert Morales,3.81,35%,3.96,56%,0.91,35%,70%,0.2,http://www.ufcstats.com/fighter-details/544d7460b3e44393
Hector Sandoval,3.31,52%,2.33,65%,3.49,25%,71%,1.4,http://www.ufcstats.com/fighter-details/449c890bd90f3374
Mike Easton,3.51,37%,4.28,61%,0.75,22%,66%,0.0,http://www.ufcstats.com/fighter-details/bc7230f231701d66
Jason Freeman,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/5870bd1eadf4f322
Courtney Turner,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/56f4b81ec4db61af
Helio Dipp,0.60,25%,1.80,62%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/73eb2a552c92a821
Rodrigo Lidio,0.97,50%,0.00,100%,0.00,0%,50%,0.0,http://www.ufcstats.com/fighter-details/11b5a809c3120e27
Gunnar Nelson,1.84,61%,3.00,49%,1.90,59%,66%,1.0,http://www.ufcstats.com/fighter-details/fd55393021a8c255
Bobby Southworth,0.99,39%,1.38,65%,3.98,78%,64%,1.3,http://www.ufcstats.com/fighter-details/aee8eecfc4bfb1e7
Ken Shamrock,1.47,46%,4.30,39%,0.94,60%,44%,2.5,http://www.ufcstats.com/fighter-details/63b65af1c5cb02cb
Assuerio Silva,1.42,46%,4.20,54%,2.66,34%,25%,1.8,http://www.ufcstats.com/fighter-details/e091482fa6648261
Alexa Grasso,4.19,41%,3.69,58%,0.44,40%,54%,0.7,http://www.ufcstats.com/fighter-details/e8b731feff72294b
Ryan Benoit,2.88,39%,3.65,58%,0.28,22%,72%,0.4,http://www.ufcstats.com/fighter-details/20999e27ddd94bda
Pat Pytlik,3.12,56%,4.56,22%,0.00,0%,33%,0.0,http://www.ufcstats.com/fighter-details/4fd140eea593526e
Alex Torres,2.47,37%,2.73,69%,2.00,22%,50%,0.0,http://www.ufcstats.com/fighter-details/e4e0f310b3cf23a8
Marcos da Matta,0.00,0%,0.00,0%,0.00,0%,0%,0.0,http://www.ufcstats.com/fighter-details/3b6d84343579fd33
Hermes Franca,1.78,39%,2.85,55%,1.53,36%,37%,2.4,http://www.ufcstats.com/fighter-details/e0ec3c3b6b611f7e
